Temperature,HeatCap,,,,,
50.0007556,21.039458,,,,,
44.7468,19.2945411,,,,,
40.0457333,17.631138,,,,,
35.8386444,15.9776454,,,,,
32.0733,14.4007859,,,,,
28.7031778,12.92546,,,,,
25.6875556,11.4820178,,,,,
22.9887556,10.0842036,,,,,
20.5736556,8.7183479,,,,,
18.4122111,7.49387759,,,,,
16.4786333,6.34220011,,,,,
14.7474667,5.26926319,,,,,
13.1979889,4.3067595,,,,,
11.8114667,3.44203245,,,,,
10.5707778,2.70030751,,,,,
9.45415667,2.07442311,,,,,
8.46542556,1.58746791,,,,,
7.57790667,1.16252088,,,,,
6.78174333,0.83211573,,,,,
6.06772,0.57688241,,,,,
5.43056222,0.39884394,,,,,
4.86061222,0.26384992,,,,,
4.34896333,0.17016071,,,,,
3.89322556,0.10743507,,,,,
3.48386778,0.06799157,,,,,
3.11798333,0.04422733,,,,,
2.79060778,0.02863725,,,,,
2.49688556,0.01946514,,,,,
2.23463778,0.01394966,,,,,
2.00007222,0.01071782,,,,,
50.00013333,22.08379086,,,,,
44.7476,20.07544981,,,,,
40.0459,18.23170495,,,,,
35.83903333,16.41185425,,,,,
32.07423333,14.68717889,,,,,
28.70423333,12.93916982,,,,,
25.68773333,11.3211065,,,,,
22.98953333,9.746009588,,,,,
20.57386667,8.24973166,,,,,
18.41256667,6.848170978,,,,,
16.47856667,5.583297233,,,,,
14.74723333,4.460193436,,,,,
13.19773333,3.505323166,,,,,
11.81176667,2.709883848,,,,,
10.57053333,2.073215444,,,,,
9.453776667,1.544077915,,,,,
8.465123333,1.155962561,,,,,
7.577803333,0.850369369,,,,,
6.781243333,0.617182014,,,,,
6.069426667,0.448046081,,,,,
5.4291,0.312930811,,,,,
4.860393333,0.217806486,,,,,
4.349843333,0.150428755,,,,,
3.893393333,0.104207859,,,,,
3.483406667,0.071028275,,,,,
3.117996667,0.049123353,,,,,
2.790206667,0.034898911,,,,,
2.496883333,0.026462842,,,,,
2.234456667,0.021706581,,,,,
1.999953333,0.019327093,,,,,
50.00113333,23.68672539,,,,,
44.74716667,21.48451587,,,,,
40.0461,19.75555147,,,,,
35.8388,17.90310835,,,,,
32.07336667,16.03951563,,,,,
28.704,14.31880846,,,,,
25.68843333,12.49086775,,,,,
22.99006667,10.84076252,,,,,
20.57416667,9.291742089,,,,,
18.413,7.82713416,,,,,
16.47863333,6.470248143,,,,,
14.74753333,5.317581374,,,,,
13.19783333,4.361596176,,,,,
11.81173333,3.471058611,,,,,
10.57116667,2.745152534,,,,,
9.457753333,2.111278569,,,,,
8.46604,1.606995162,,,,,
7.57405,1.199707489,,,,,
6.78209,0.881104523,,,,,
6.068126667,0.638323971,,,,,
5.43206,0.448429095,,,,,
4.86179,0.309841585,,,,,
4.35149,0.214558989,,,,,
3.89323,0.1498001,,,,,
3.48371,0.104233063,,,,,
3.117353333,0.072109702,,,,,
2.790136667,0.051638133,,,,,
2.49726,0.038522527,,,,,
2.234646667,0.030277484,,,,,
1.999886667,0.025514635,,,,,
